EXPENSE_ID,DATE,EXPENSE,EXPENSE CATEGORY, AMOUNT 
1,19-Apr-25,,?,13500
2,22-Apr-25,,?,14000
3,22-Apr-25,Tips-askari,Tips and commission ,5000
4,24-Apr-25,Transport-Microwave,Transport,16000
5,27-Apr-25,Cleaning,Cleaning,22000
6,28-Apr-25,Purchase-Rubber dryer ,Equipment,10000
7,28-Apr-25,,?,6000
8,01-May-25,Transport-sending keys,Transport,8000
9,05-May-25,Cleaning,Cleaning,22500
10,05-May-25,Water and electricity ,Utilities,50500
11,08-May-25,Cleaning ,Cleaning,22500
12,13-May-25,Booking.com comission,Tips and commission ,
13,14-May-25,Cleaning,Cleaning,16500
14,14-May-25,Microwave,HH items,255000
15,14-May-25,Transport,Transport,10000
16,16-May-25,Shower gel ,Toileteries,5000
17,17-May-25,Cleaning ,Cleaning,16500
18,28-May-25,Cleaning,Cleaning,16500
19,28-May-25,Showergel,Toileteries,5000
20,28-May-25,Tissue,Toileteries,10000
21,28-May-25,Omo,Cleaning supplies,3500
22,28-May-25,Dishwash,Cleaning supplies,8000
23,28-May-25,Vim,Cleaning supplies,4000
24,28-May-25,Handwash,Toileteries,5000
25,28-May-25,Tip askari,Tips and commission ,2000
26,29-May-25,Cleaning,Cleaning,16500
27,31-May-25,Cleaning,Cleaning,16500
28,01-Jun-25,Cleaning,Cleaning,16500
29,05-Jun-25,Water and electricity ,Utilities,50500
30,06-Jun-25,Cleaning,Cleaning,16500
31,12-Jun-25,Cleaning ,Cleaning,16500
32,14-Jun-25,Cleaning ,Cleaning,16500
33,15-Jun-25,Cleaning ,Cleaning,26500
34,19-Jun-25,Tp,Toileteries,10000
35,19-Jun-25,Repellent ,Toileteries,5000
36,19-Jun-25,Omo,Cleaning supplies,3500
37,19-Jun-25,Kakuuta,Cleaning supplies,1000
38,20-Jun-25,Internet,Internet,73000
39,21-Jun-25,Cleaning,Cleaning,16500
40,22-Jun-25,Cleaning ,Cleaning,16500
41,25-Jun-25,Cleaning ,Cleaning,16500
42,26-Jun-25,Cleaning ,Cleaning,16500
43,27-Jun-25,Cleaning ,Cleaning,16500
44,29-Jun-25,Cleaning ,Cleaning,16500
45,29-Jun-25,Omo,Cleaning supplies,3500
